metric,step,value,timestamp
entropy,10,0.36194337606430055,1790277017788
entropy,20,0.34256546199321747,1790277032117
entropy,30,0.29931108355522157,1790277046015
entropy,40,0.3310593754053116,1790277060895
entropy,50,0.3240229278802872,1790277075213
entropy,60,0.32202946543693545,1790277089730
entropy,70,0.3228579968214035,1790277104087
entropy,80,0.3193871796131134,1790277118915
entropy,90,0.31628818809986115,1790277132780
entropy,94,0.34735553711652756,1790277141051
epoch,10,0.10638297872340426,1790277017788
epoch,20,0.2127659574468085,1790277032117
epoch,30,0.3191489361702128,1790277046015
epoch,40,0.425531914893617,1790277060895
epoch,50,0.5319148936170213,1790277075213
epoch,60,0.6382978723404256,1790277089730
epoch,70,0.7446808510638298,1790277104087
epoch,80,0.851063829787234,1790277118915
epoch,90,0.9574468085106383,1790277132780
epoch,94,1.0,1790277141051
final.eval_seconds,0,242.8,1790277385452
final.gsm8k_acc,0,0.326,1790277385452
final.gsm8k_format_rate,0,0.228,1790277385452
final.gsm8k_mean_new_tokens,0,247.137,1790277385452
final.gsm8k_n,0,1000.0,1790277385452
grad_norm,10,0.62890625,1790277017788
grad_norm,20,0.51171875,1790277032117
grad_norm,30,0.5078125,1790277046015
grad_norm,40,0.53125,1790277060895
grad_norm,50,0.5078125,1790277075213
grad_norm,60,0.486328125,1790277089730
grad_norm,70,0.412109375,1790277104087
grad_norm,80,0.4921875,1790277118915
grad_norm,90,0.47265625,1790277132780
learning_rate,10,0.00019786235252959553,1790277017788
learning_rate,20,0.00018512844415843514,1790277032117
learning_rate,30,0.00016234898018587337,1790277046015
learning_rate,40,0.00013221204417984908,1790277060895
learning_rate,50,9.827393590946116e-05,1790277075213
learning_rate,60,6.453951129574644e-05,1790277089730
learning_rate,70,3.498959063312558e-05,1790277104087
learning_rate,80,1.311120312749935e-05,1790277118915
learning_rate,90,1.48610109831262e-06,1790277132780
loss,10,0.36854960918426516,1790277017788
loss,20,0.3354370594024658,1790277032117
loss,30,0.30827670097351073,1790277046015
loss,40,0.3210632085800171,1790277060895
loss,50,0.328778600692749,1790277075213
loss,60,0.3251837968826294,1790277089730
loss,70,0.32143001556396483,1790277104087
loss,80,0.3180063247680664,1790277118915
loss,90,0.3129014015197754,1790277132780
mean_token_accuracy,10,0.8799589395523071,1790277017788
mean_token_accuracy,20,0.8890507221221924,1790277032117
mean_token_accuracy,30,0.8966205775737762,1790277046015
mean_token_accuracy,40,0.8931587934494019,1790277060895
mean_token_accuracy,50,0.88992258310318,1790277075213
mean_token_accuracy,60,0.8939695477485656,1790277089730
mean_token_accuracy,70,0.8930630445480346,1790277104087
mean_token_accuracy,80,0.8958627104759216,1790277118915
mean_token_accuracy,90,0.8954770922660827,1790277132780
mean_token_accuracy,94,0.8819722235202789,1790277141051
num_tokens,10,54886.0,1790277017788
num_tokens,20,109318.0,1790277032117
num_tokens,30,164643.0,1790277046015
num_tokens,40,220410.0,1790277060895
num_tokens,50,277442.0,1790277075213
num_tokens,60,332891.0,1790277089730
num_tokens,70,389240.0,1790277104087
num_tokens,80,444533.0,1790277118915
num_tokens,90,500244.0,1790277132780
num_tokens,94,520733.0,1790277141051
total_flos,94,1662172813578240.0,1790277141051
train_loss,94,0.32750347320069656,1790277141051
train_runtime,94,141.8303,1790277141051
train_samples_per_second,94,10.576,1790277141051
train_steps_per_second,94,0.663,1790277141051
train_summary.entropy,0,0.34735553711652756,1790277385567
train_summary.global_step,0,94.0,1790277385567
train_summary.grad_norm,0,0.47265625,1790277385567
train_summary.learning_rate,0,1.48610109831262e-06,1790277385567
train_summary.loss,0,0.3129014015197754,1790277385567
train_summary.mean_token_accuracy,0,0.8819722235202789,1790277385567
train_summary.num_tokens,0,520733.0,1790277385567
train_summary.total_flos,0,1662172813578240.0,1790277385567
train_summary.train_loss,0,0.32750347320069656,1790277385567
train_summary.train_runtime,0,141.8303,1790277385567
train_summary.train_samples_per_second,0,10.576,1790277385567
train_summary.train_steps_per_second,0,0.663,1790277385567
