metric,step,value,timestamp
entropy,10,1.3298691596835852,1790277522173
entropy,20,1.338282211497426,1790277578951
entropy,30,1.3571336470544337,1790277634393
entropy,40,1.4012159548699856,1790277691664
entropy,50,1.4105675637722015,1790277746122
entropy,60,1.3403066352009774,1790277808314
entropy,70,1.4177904561161996,1790277867176
entropy,80,1.3170180615037679,1790277926720
entropy,90,1.451482956856489,1790277984149
entropy,93,1.3979229496584997,1790278000831
epoch,10,0.10840108401084012,1790277522173
epoch,20,0.21680216802168023,1790277578951
epoch,30,0.3252032520325203,1790277634393
epoch,40,0.43360433604336046,1790277691664
epoch,50,0.5420054200542005,1790277746122
epoch,60,0.6504065040650406,1790277808314
epoch,70,0.7588075880758808,1790277867176
epoch,80,0.8672086720867209,1790277926720
epoch,90,0.975609756097561,1790277984149
epoch,93,1.0,1790278000831
final.eval_seconds,0,243.8,1790278246607
final.gsm8k_acc,0,0.304,1790278246607
final.gsm8k_format_rate,0,0.0,1790278246607
final.gsm8k_mean_new_tokens,0,254.914,1790278246607
final.gsm8k_n,0,1000.0,1790278246607
grad_norm,10,13.4375,1790277522173
grad_norm,20,14.0,1790277578951
grad_norm,30,11.25,1790277634393
grad_norm,40,14.875,1790277691664
grad_norm,50,12.8125,1790277746122
grad_norm,60,12.9375,1790277808314
grad_norm,70,12.125,1790277867176
grad_norm,80,14.0,1790277926720
grad_norm,90,16.375,1790277984149
learning_rate,10,4.5e-06,1790277522173
learning_rate,20,4.8563403863141825e-06,1790277578951
learning_rate,30,4.3808987559489536e-06,1790277634393
learning_rate,40,3.6391898461406045e-06,1790277691664
learning_rate,50,2.7362128297200784e-06,1790277746122
learning_rate,60,1.7997966144377328e-06,1790277808314
learning_rate,70,9.625038899551162e-07,1790277867176
learning_rate,80,3.4286504241894283e-07,1790277926720
learning_rate,90,2.8598536020278678e-08,1790277984149
logits/chosen,10,-1.8211522913379306,1790277522173
logits/chosen,20,-1.9641165893084291,1790277578951
logits/chosen,30,-1.8895330934481556,1790277634393
logits/chosen,40,-1.9350560572560176,1790277691664
logits/chosen,50,-1.9636392347467264,1790277746122
logits/chosen,60,-1.844904390175012,1790277808314
logits/chosen,70,-1.89711948282586,1790277867176
logits/chosen,80,-1.9450467517260133,1790277926720
logits/chosen,90,-1.8789865787469533,1790277984149
logits/chosen,93,-1.925855137990769,1790278000831
logits/rejected,10,-1.8379252057094106,1790277522173
logits/rejected,20,-1.9831321677562468,1790277578951
logits/rejected,30,-1.854853468927973,1790277634393
logits/rejected,40,-1.9432758403124464,1790277691664
logits/rejected,50,-1.9894950541852154,1790277746122
logits/rejected,60,-1.847085637701158,1790277808314
logits/rejected,70,-1.8709102372698705,1790277867176
logits/rejected,80,-1.9104129289057337,1790277926720
logits/rejected,90,-1.845107122627325,1790277984149
logits/rejected,93,-1.793525439592,1790278000831
logps/chosen,10,-384.9739484548569,1790277522173
logps/chosen,20,-388.7304397106171,1790277578951
logps/chosen,30,-376.5578798532486,1790277634393
logps/chosen,40,-396.48377752304077,1790277691664
logps/chosen,50,-363.9920758008957,1790277746122
logps/chosen,60,-395.63413110971453,1790277808314
logps/chosen,70,-427.92573442459104,1790277867176
logps/chosen,80,-379.4575164794922,1790277926720
logps/chosen,90,-391.9608826637268,1790277984149
logps/chosen,93,-449.4594006538391,1790278000831
logps/rejected,10,-327.76767165660857,1790277522173
logps/rejected,20,-317.44985153675077,1790277578951
logps/rejected,30,-320.91707863807676,1790277634393
logps/rejected,40,-329.1120050907135,1790277691664
logps/rejected,50,-320.3680187225342,1790277746122
logps/rejected,60,-372.1609276771545,1790277808314
logps/rejected,70,-358.6372624874115,1790277867176
logps/rejected,80,-332.3637318611145,1790277926720
logps/rejected,90,-326.87005672454836,1790277984149
logps/rejected,93,-298.5465751224094,1790278000831
loss,10,0.7002247333526611,1790277522173
loss,20,0.6913394451141357,1790277578951
loss,30,0.7000978469848633,1790277634393
loss,40,0.6908311367034912,1790277691664
loss,50,0.6833550930023193,1790277746122
loss,60,0.682563591003418,1790277808314
loss,70,0.6670773506164551,1790277867176
loss,80,0.6840347290039063,1790277926720
loss,90,0.6807973861694336,1790277984149
mean_token_accuracy,10,0.6618111751973629,1790277522173
mean_token_accuracy,20,0.6447449557483196,1790277578951
mean_token_accuracy,30,0.6576363857835531,1790277634393
mean_token_accuracy,40,0.6334377385675907,1790277691664
mean_token_accuracy,50,0.6445182424038649,1790277746122
mean_token_accuracy,60,0.6593038164079189,1790277808314
mean_token_accuracy,70,0.6306921664625407,1790277867176
mean_token_accuracy,80,0.6578759774565697,1790277926720
mean_token_accuracy,90,0.636414547637105,1790277984149
mean_token_accuracy,93,0.6501811411645677,1790278000831
num_tokens,10,139786.0,1790277522173
num_tokens,20,275286.0,1790277578951
num_tokens,30,402355.0,1790277634393
num_tokens,40,532819.0,1790277691664
num_tokens,50,657982.0,1790277746122
num_tokens,60,809352.0,1790277808314
num_tokens,70,951297.0,1790277867176
num_tokens,80,1096014.0,1790277926720
num_tokens,90,1231027.0,1790277984149
num_tokens,93,1260018.0,1790278000831
rewards/accuracies,10,0.33125,1790277522173
rewards/accuracies,20,0.5375,1790277578951
rewards/accuracies,30,0.45,1790277634393
rewards/accuracies,40,0.55625,1790277691664
rewards/accuracies,50,0.55625,1790277746122
rewards/accuracies,60,0.575,1790277808314
rewards/accuracies,70,0.65625,1790277867176
rewards/accuracies,80,0.5625,1790277926720
rewards/accuracies,90,0.575,1790277984149
rewards/accuracies,93,0.5277777777777778,1790278000831
rewards/chosen,10,-0.012857029534643516,1790277522173
rewards/chosen,20,-0.002475941125157988,1790277578951
rewards/chosen,30,-0.025269343203399332,1790277634393
rewards/chosen,40,-0.02338963783113286,1790277691664
rewards/chosen,50,-0.012017855595331639,1790277746122
rewards/chosen,60,-0.04381357247184496,1790277808314
rewards/chosen,70,-0.0249845486599952,1790277867176
rewards/chosen,80,-0.04583271252340637,1790277926720
rewards/chosen,90,-0.03626008146675304,1790277984149
rewards/chosen,93,-0.038717162433183856,1790278000831
rewards/margins,10,-0.011643189983442426,1790277522173
rewards/margins,20,0.006473341525997966,1790277578951
rewards/margins,30,-0.010480028961319476,1790277634393
rewards/margins,40,0.009802009962731973,1790277691664
rewards/margins,50,0.02600153221283108,1790277746122
rewards/margins,60,0.02788466456113383,1790277808314
rewards/margins,70,0.0609535648021847,1790277867176
rewards/margins,80,0.025359610258601607,1790277926720
rewards/margins,90,0.031757639697752894,1790277984149
rewards/margins,93,0.020933995851212077,1790278000831
rewards/rejected,10,-0.0012138391088228674,1790277522173
rewards/rejected,20,-0.008949282416142523,1790277578951
rewards/rejected,30,-0.014789314469089732,1790277634393
rewards/rejected,40,-0.03319164761924185,1790277691664
rewards/rejected,50,-0.03801938810938736,1790277746122
rewards/rejected,60,-0.07169823699514381,1790277808314
rewards/rejected,70,-0.08593811257742345,1790277867176
rewards/rejected,80,-0.07119232262484729,1790277926720
rewards/rejected,90,-0.06801772057951894,1790277984149
rewards/rejected,93,-0.059651158129175506,1790278000831
total_flos,93,4167172183326720.0,1790278000831
train_loss,93,0.6863078199407106,1790278000831
train_runtime,93,541.5589,1790278000831
train_samples_per_second,93,2.724,1790278000831
train_steps_per_second,93,0.172,1790278000831
train_summary.entropy,0,1.3979229496584997,1790278246786
train_summary.global_step,0,93.0,1790278246786
train_summary.grad_norm,0,16.375,1790278246786
train_summary.learning_rate,0,2.8598536020278678e-08,1790278246786
train_summary.logits/chosen,0,-1.925855137990769,1790278246786
train_summary.logits/rejected,0,-1.793525439592,1790278246786
train_summary.logps/chosen,0,-449.4594006538391,1790278246786
train_summary.logps/rejected,0,-298.5465751224094,1790278246786
train_summary.loss,0,0.6807973861694336,1790278246786
train_summary.mean_token_accuracy,0,0.6501811411645677,1790278246786
train_summary.num_tokens,0,1260018.0,1790278246786
train_summary.rewards/accuracies,0,0.5277777777777778,1790278246786
train_summary.rewards/chosen,0,-0.038717162433183856,1790278246786
train_summary.rewards/margins,0,0.020933995851212077,1790278246786
train_summary.rewards/rejected,0,-0.059651158129175506,1790278246786
train_summary.total_flos,0,4167172183326720.0,1790278246786
train_summary.train_loss,0,0.6863078199407106,1790278246786
train_summary.train_runtime,0,541.5589,1790278246786
train_summary.train_samples_per_second,0,2.724,1790278246786
train_summary.train_steps_per_second,0,0.172,1790278246786
