metric,step,value,timestamp
entropy,10,0.6475027680397034,1790279618891
entropy,20,0.6035931944847107,1790279626753
entropy,30,0.5694899767637253,1790279635056
entropy,40,0.5758864611387253,1790279643578
entropy,50,0.60446697473526,1790279652440
entropy,60,0.5641428828239441,1790279660615
entropy,70,0.579662075638771,1790279668755
entropy,80,0.5856868088245392,1790279677002
entropy,90,0.6059835731983185,1790279685117
entropy,94,0.5866997987031937,1790279690880
epoch,10,0.10638297872340426,1790279618891
epoch,20,0.2127659574468085,1790279626753
epoch,30,0.3191489361702128,1790279635056
epoch,40,0.425531914893617,1790279643578
epoch,50,0.5319148936170213,1790279652440
epoch,60,0.6382978723404256,1790279660615
epoch,70,0.7446808510638298,1790279668755
epoch,80,0.851063829787234,1790279677002
epoch,90,0.9574468085106383,1790279685117
epoch,94,1.0,1790279690880
final.eval_seconds,0,176.1,1790279868571
final.gsm8k_acc,0,0.301,1790279868571
final.gsm8k_format_rate,0,0.992,1790279868571
final.gsm8k_mean_new_tokens,0,83.386,1790279868571
final.gsm8k_n,0,1000.0,1790279868571
grad_norm,10,1.078125,1790279618891
grad_norm,20,0.96875,1790279626753
grad_norm,30,0.9296875,1790279635056
grad_norm,40,0.77734375,1790279643578
grad_norm,50,0.85546875,1790279652440
grad_norm,60,0.80078125,1790279660615
grad_norm,70,0.76171875,1790279668755
grad_norm,80,0.921875,1790279677002
grad_norm,90,0.7890625,1790279685117
learning_rate,10,0.00019786235252959553,1790279618891
learning_rate,20,0.00018512844415843514,1790279626753
learning_rate,30,0.00016234898018587337,1790279635056
learning_rate,40,0.00013221204417984908,1790279643578
learning_rate,50,9.827393590946116e-05,1790279652440
learning_rate,60,6.453951129574644e-05,1790279660615
learning_rate,70,3.498959063312558e-05,1790279668755
learning_rate,80,1.311120312749935e-05,1790279677002
learning_rate,90,1.48610109831262e-06,1790279685117
loss,10,0.6999123096466064,1790279618891
loss,20,0.6049461364746094,1790279626753
loss,30,0.5776610851287842,1790279635056
loss,40,0.5810311317443848,1790279643578
loss,50,0.6131034851074219,1790279652440
loss,60,0.5748318672180176,1790279660615
loss,70,0.583507490158081,1790279668755
loss,80,0.581072998046875,1790279677002
loss,90,0.5968868255615234,1790279685117
mean_token_accuracy,10,0.8092177927494049,1790279618891
mean_token_accuracy,20,0.8249716639518738,1790279626753
mean_token_accuracy,30,0.8352455198764801,1790279635056
mean_token_accuracy,40,0.8335601150989532,1790279643578
mean_token_accuracy,50,0.8267090082168579,1790279652440
mean_token_accuracy,60,0.8357510447502137,1790279660615
mean_token_accuracy,70,0.8332286775112152,1790279668755
mean_token_accuracy,80,0.8343808233737946,1790279677002
mean_token_accuracy,90,0.8299412131309509,1790279685117
mean_token_accuracy,94,0.8305788636207581,1790279690880
num_tokens,10,31793.0,1790279618891
num_tokens,20,62817.0,1790279626753
num_tokens,30,94724.0,1790279635056
num_tokens,40,127398.0,1790279643578
num_tokens,50,160602.0,1790279652440
num_tokens,60,192710.0,1790279660615
num_tokens,70,225328.0,1790279668755
num_tokens,80,257054.0,1790279677002
num_tokens,90,288654.0,1790279685117
num_tokens,94,300270.0,1790279690880
total_flos,94,1040613750466560.0,1790279690880
train_loss,94,0.6013827273186217,1790279690880
train_runtime,94,84.4553,1790279690880
train_samples_per_second,94,17.761,1790279690880
train_steps_per_second,94,1.113,1790279690880
train_summary.entropy,0,0.5866997987031937,1790279868751
train_summary.global_step,0,94.0,1790279868751
train_summary.grad_norm,0,0.7890625,1790279868751
train_summary.learning_rate,0,1.48610109831262e-06,1790279868751
train_summary.loss,0,0.5968868255615234,1790279868751
train_summary.mean_token_accuracy,0,0.8305788636207581,1790279868751
train_summary.num_tokens,0,300270.0,1790279868751
train_summary.total_flos,0,1040613750466560.0,1790279868751
train_summary.train_loss,0,0.6013827273186217,1790279868751
train_summary.train_runtime,0,84.4553,1790279868751
train_summary.train_samples_per_second,0,17.761,1790279868751
train_summary.train_steps_per_second,0,1.113,1790279868751
