metric,step,value,timestamp
entropy,10,1.623413123935461,1790271682442
entropy,20,1.5293688364326954,1790271720310
entropy,30,1.5963654533028602,1790271803519
entropy,40,1.452288106828928,1790271903864
entropy,50,1.417509575933218,1790272038112
entropy,60,1.3993761152029038,1790272158070
entropy,70,1.648202481120825,1790272198692
entropy,80,1.4296969510614872,1790272247231
entropy,90,1.4126074749976396,1790272290241
entropy,94,1.6414214690526328,1790272307240
epoch,10,0.10666666666666667,1790271682442
epoch,20,0.21333333333333335,1790271720310
epoch,30,0.32,1790271803519
epoch,40,0.4266666666666667,1790271903864
epoch,50,0.5333333333333333,1790272038112
epoch,60,0.64,1790272158070
epoch,70,0.7466666666666667,1790272198692
epoch,80,0.8533333333333334,1790272247231
epoch,90,0.96,1790272290241
epoch,94,1.0,1790272307240
final.eval_seconds,0,482.1,1790272790685
final.gsm8k_acc,0,0.259,1790272790685
final.gsm8k_format_rate,0,0.003,1790272790685
final.gsm8k_mean_new_tokens,0,204.553,1790272790685
final.gsm8k_n,0,1000.0,1790272790685
grad_norm,10,0.462890625,1790271682442
grad_norm,20,0.49609375,1790271720310
grad_norm,30,0.42578125,1790271803519
grad_norm,40,0.419921875,1790271903864
grad_norm,50,0.37890625,1790272038112
grad_norm,60,0.44140625,1790272158070
grad_norm,70,0.4140625,1790272198692
grad_norm,80,0.376953125,1790272247231
grad_norm,90,0.408203125,1790272290241
learning_rate,10,0.00019786235252959553,1790271682442
learning_rate,20,0.00018512844415843514,1790271720310
learning_rate,30,0.00016234898018587337,1790271803519
learning_rate,40,0.00013221204417984908,1790271903864
learning_rate,50,9.827393590946116e-05,1790272038112
learning_rate,60,6.453951129574644e-05,1790272158070
learning_rate,70,3.498959063312558e-05,1790272198692
learning_rate,80,1.311120312749935e-05,1790272247231
learning_rate,90,1.48610109831262e-06,1790272290241
loss,10,1.6580608367919922,1790271682442
loss,20,1.5489654541015625,1790271720310
loss,30,1.6149127960205079,1790271803519
loss,40,1.4315901756286622,1790271903864
loss,50,1.4354147911071777,1790272038112
loss,60,1.4156856536865234,1790272158070
loss,70,1.6594676971435547,1790272198692
loss,80,1.412541961669922,1790272247231
loss,90,1.3785527229309082,1790272290241
mean_token_accuracy,10,0.6186063405126333,1790271682442
mean_token_accuracy,20,0.6379466012120247,1790271720310
mean_token_accuracy,30,0.6276646487414836,1790271803519
mean_token_accuracy,40,0.6540678251534701,1790271903864
mean_token_accuracy,50,0.6587702102959156,1790272038112
mean_token_accuracy,60,0.6621972937136889,1790272158070
mean_token_accuracy,70,0.622346568107605,1790272198692
mean_token_accuracy,80,0.6561314046382904,1790272247231
mean_token_accuracy,90,0.6676296833902597,1790272290241
mean_token_accuracy,94,0.6219211012125015,1790272307240
num_tokens,10,106338.0,1790271682442
num_tokens,20,212733.0,1790271720310
num_tokens,30,326882.0,1790271803519
num_tokens,40,443255.0,1790271903864
num_tokens,50,558387.0,1790272038112
num_tokens,60,672885.0,1790272158070
num_tokens,70,792434.0,1790272198692
num_tokens,80,912817.0,1790272247231
num_tokens,90,1020388.0,1790272290241
num_tokens,94,1064572.0,1790272307240
total_flos,94,2956093047974400.0,1790272307240
train_loss,94,1.5116000378385503,1790272307240
train_runtime,94,665.5143,1790272307240
train_samples_per_second,94,2.254,1790272307240
train_steps_per_second,94,0.141,1790272307240
train_summary.entropy,0,1.6414214690526328,1790272790828
train_summary.global_step,0,94.0,1790272790828
train_summary.grad_norm,0,0.408203125,1790272790828
train_summary.learning_rate,0,1.48610109831262e-06,1790272790828
train_summary.loss,0,1.3785527229309082,1790272790828
train_summary.mean_token_accuracy,0,0.6219211012125015,1790272790828
train_summary.num_tokens,0,1064572.0,1790272790828
train_summary.total_flos,0,2956093047974400.0,1790272790828
train_summary.train_loss,0,1.5116000378385503,1790272790828
train_summary.train_runtime,0,665.5143,1790272790828
train_summary.train_samples_per_second,0,2.254,1790272790828
train_summary.train_steps_per_second,0,0.141,1790272790828
